sku,name,url,price,img_url,description,allegens,weight,cals,fat_level,sat_level,sugar_level,salt_level,rating,Energy,Fat,Saturates,Mono_unsaturates,Polyunsaturates,Carbohydrate,Sugars,Starch,Fibre,Protein,Salt
7901538,Rhythm 108 Creamy Coconut with Swiss Dark Chocolate 33g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/rhythm-108-gluten-free-super-coconut-swiss-dark-chocolate-33g,£1.50,https://assets.sainsburys-groceries.co.uk/gol/7901538/1/640x640.jpg,Organic oat and coconut bar covered in a chocolate coating (55% minimum cocoa solids).,set(),,,,,,,4.3,,,,,,,,,,,
7796192,KIND Caramel Almond & Sea Salt Snack Bar 40g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/kind-nuts---spices-caramel-almond---sea-salt-bar-40g,£1.40,https://assets.sainsburys-groceries.co.uk/gol/7796192/1/640x640.jpg,Almonds (65%) Bar with Caramel Flavouring (19%) and Sea Salt.,set(),,214kcal,,,,,4.7,,,,,,,,,,,
6831988,Snickers Caramel Nougat Peanuts & Milk Chocolate Snack Bar 48g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/snickers-single-58g,95p,https://assets.sainsburys-groceries.co.uk/gol/6831988/1/640x640.jpg,Milk chocolate (35%) with soft nougat (14%) and caramel centre (28%) with peanuts (22%).,set(),,,,,,,4.7,,,,,,,,,,,
7893316,Nakd Blueberry Muffin Fruit & Nut Bar 35g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/nakd-bar-blueberry-muffin-35g,£1.00,https://assets.sainsburys-groceries.co.uk/gol/7893316/1/640x640.jpg,Dried Fruit & Nut Bar with Natural Flavouring,set(),,,,,,,4.1,,,,,,,,,,,
8001375,Walkers Salt & Vinegar Crisps 45g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/walkers-salt-vinegar-crisps-45g,£1.10,https://assets.sainsburys-groceries.co.uk/gol/8001375/1/640x640.jpg,Salt and Vinegar Flavour Potato Crisps,set(),,230kcal,NutritionLevel.HIGH,NutritionLevel.MEDIUM,NutritionLevel.LOW,NutritionLevel.HIGH,4.6,,,,,,,,,,,
4055334,McCoy's Salt and Malt Vinegar Grab Bag Crisps 45g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/mccoys-salt---vinegar-50g,£1.10,https://assets.sainsburys-groceries.co.uk/gol/4055334/1/640x640.jpg,Salt & Malt Vinegar Flavour Potato Crisps,set(),44.99054820415879,238kcal,NutritionLevel.HIGH,NutritionLevel.MEDIUM,NutritionLevel.LOW,NutritionLevel.HIGH,4.6,,,,,,,,,,,
7860772,Walkers Wotsits Really Cheesy Crisp Snacks 36g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/walkers-wotsits-really-cheesy-crisp-snacks-36g,£1.10,https://assets.sainsburys-groceries.co.uk/gol/7860772/1/640x640.jpg,Really Cheesy Flavour Corn Puffs,set(),,148kcal,NutritionLevel.HIGH,NutritionLevel.MEDIUM,NutritionLevel.MEDIUM,NutritionLevel.HIGH,4.4,,,,,,,,,,,
7900282,Sainsbury's On the Go Roasted & Salted Mixed Nuts 60g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-on-the-go-roasted-salted-mixed-nuts-60g,£1.05,https://assets.sainsburys-groceries.co.uk/gol/7900282/1/640x640.jpg,"Roasted and salted peanuts, cashew nuts and almonds","{'Cashew Nuts', 'INGREDIENTS:Peanuts', 'Almonds'}",30.0,186kcal,NutritionLevel.HIGH,NutritionLevel.HIGH,NutritionLevel.LOW,NutritionLevel.MEDIUM,4.7,186.0,15.6,2.4,8.3,4.2,3.2,1.4,1.7,2.7,6.9,0.14
8008709,Graze Snack Box Oat Boosts Peanut Butter Protein Flapjack 50g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/graze-peanut-butter-chcolate-fjack-50g,£1.20,https://assets.sainsburys-groceries.co.uk/gol/8008709/1/640x640.jpg,Wholegrain oat flapjack with roasted peanuts and peanut butter,set(),,,,,,,4.6,,,,,,,,,,,
4019565,Cadbury Picnic Chocolate Bar 48g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/cadbury-picnic-484g,£1.05,https://assets.sainsburys-groceries.co.uk/gol/4019565/1/640x640.jpg,"Milk chocolate with caramel (30 %), peanut (13 %), crispy cereal (10 %) & dried grapes (7 %) centre.",set(),,232kcal,,,,,4.7,,,,,,,,,,,
7851927,Sainsbury's Trio Of Olives 60g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-trio-of-olives-60g,£1.30,https://assets.sainsburys-groceries.co.uk/gol/7851927/1/640x640.jpg,"Pimento stuffed olives, pitted black and pitted green olives in a parsley dressing",set(),59.60264900662252,90kcal,NutritionLevel.MEDIUM,NutritionLevel.MEDIUM,NutritionLevel.LOW,NutritionLevel.HIGH,4.5,90.0,8.9,1.4,6.1,1.0,1.1,0.5,,1.3,0.7,1.8
6853491,Mega Monster Munch Pickled Onion Snacks Crisps 40g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/monster-munch-pickled-onion-40g-6853491-p-44,£1.10,https://assets.sainsburys-groceries.co.uk/gol/6853491/1/640x640.jpg,Pickled Onion Flavour Baked Corn Snack,set(),,197kcal,NutritionLevel.HIGH,NutritionLevel.MEDIUM,NutritionLevel.LOW,NutritionLevel.HIGH,4.8,,,,,,,,,,,
