sku,name,url,price,img_url,description,allegens,weight,cals,fat_level,sat_level,sugar_level,salt_level,rating,Energy,Fat,Saturates,Mono_unsaturates,Polyunsaturates,Carbohydrate,Sugars,Starch,Fibre,Protein,Salt
7799642,Sainsbury's On the Go Smoked Salmon & Cream Cheese on Oatmeal Bread,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-on-the-go-smoked-salmon-cream-cheese-on-oatmeal-bread,3.25,https://assets.sainsburys-groceries.co.uk/gol/7799642/1/640x640.jpg,Smoked salmon with cream cheese and lemon on oatmeal bread,"{'Egg', 'Mustard', 'Fish', 'Oatmeal', 'Milk', 'Barley', 'Wheat'}",170.1421801,359,MEDIUM,MEDIUM,LOW,MEDIUM,4.3,359,13.3,3.6,5.8,3.2,39.8,4.6,35.2,3.4,18.5,1.7
8054062,Sainsbury's Chicken Caesar Salad 180g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-chicken-ceasar-salad,3.00,https://assets.sainsburys-groceries.co.uk/gol/8054062/1/640x640.jpg,"Lettuce, cooked sliced chicken breast, croutons and Parmigiano Reggiano cheese with a pot of Caesar dressing","{'Milk', 'Egg', 'Mustard', 'Wheat'}",180,217,MEDIUM,LOW,LOW,MEDIUM,2.2,217,10,2.3,5.1,2.1,11.6,3.1,,3.4,18.4,0.86
1320121,"Sainsbury's On the Go Cheddar, Red Leicester & Red Onion Sandwich",https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-cheese---onion-sandwich,1.75,https://assets.sainsburys-groceries.co.uk/gol/1320121/1/640x640.jpg,"Mayonnaise, medium mature Cheddar cheese, red Leicester cheese and red onion on oatmeal bread","{'Barley', 'Oatmeal', 'Egg', 'Milk', 'Mustard', 'Wheat'}",166.3230241,484,HIGH,HIGH,LOW,MEDIUM,4.7,484,26.9,10.6,11.5,4.8,40.2,3.2,37,3.7,18.4,1.65
8098582,Plant Pioneers Vegan Hoisin No Duck Wrap,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/plant-pioneers-hoisin-no-duck,3.25,https://assets.sainsburys-groceries.co.uk/gol/8098582/1/640x640.jpg,"Texturised wheat pieces, hoisin sauce, lettuce, cucumber and spring onion in a tortilla wrap","{''Soya', 'Wheat'}",203.7433155,381,MEDIUM,LOW,LOW,MEDIUM,3.3,381,6.7,2.4,2.4,1.8,60.2,6.7,53.4,4.1,18,1.68
8052451,Sainsbury's On the Go Tomato & Basil Chicken Pasta Salad 300g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-on-the-go-tomato-basil-chicken-pasta-salad-300g,3.00,https://assets.sainsburys-groceries.co.uk/gol/8052451/1/640x640.jpg,"Cooked pasta with a tomato and basil mayonnaise dressing, tomato and spinach topped with marinated cooked sliced chicken","{'Egg', 'Mustard', 'Wheat'}",300,448,MEDIUM,LOW,LOW,MEDIUM,3.3,448,12.9,1.3,7.2,3.8,62.8,8.7,54.1,4.5,17.9,1.13
7799565,Sainsbury's No Mayo Hoisin Duck,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-no-mayo-hoisin-duck,3.25,https://assets.sainsburys-groceries.co.uk/gol/7799565/1/640x640.jpg,"Marinated duck in hoisin sauce with lettuce, cucumber, spring onion and coriander in a tortilla wrap","{'Soya', 'Wheat'}",206.2176166,398,MEDIUM,MEDIUM,MEDIUM,MEDIUM,4.8,398,9.1,3.5,3.7,1.9,59.7,11.9,48,3.1,17.9,1.5
7797628,Sainsbury's Egg & Cress Sandwich,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-egg---cress-sandwich,1.75,https://assets.sainsburys-groceries.co.uk/gol/7797628/1/640x640.jpg,Egg mayonnaise and cress on malted bread,"{'Mustard', 'Egg', 'Barley', 'Wheat'}",184.6590909,325,MEDIUM,LOW,LOW,MEDIUM,4.1,325,10,2.4,4.4,2.6,39.2,4.3,35,3.7,17.8,1.59
8168429,Sainsbury's Tuna & Sweetcorn Pasta 300g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-tuna-sweetcorn-pasta-300g,3.00,https://assets.sainsburys-groceries.co.uk/gol/8168429/1/640x640.jpg,"Cooked pasta with tuna, sweetcorn & red onion in a mayonnaise dressing","{'Egg', 'Mustard', 'Wheat', 'Fish'}",300,434,MEDIUM,LOW,LOW,MEDIUM,4.7,434,14.2,1.4,8,4.2,57.4,6.7,50.7,3.4,17.6,1.46
8162895,Sainsbury's Prawn Mayo Sandwich,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-prawn-mayo-sandwich-8162895-p-44,3.00,https://assets.sainsburys-groceries.co.uk/gol/8162895/1/640x640.jpg,Prawn mayonnaise on oatmeal bread,"{'Egg', 'Mustard', 'Crustacean', 'Oatmeal', 'Barley', 'Wheat'}",162.804878,267,LOW,LOW,LOW,MEDIUM,4.2,267,4.6,0.6,2.2,1.6,37.5,3,34.6,3.4,17.3,1.73
8166142,"Sainsbury's Plant Pioneers VLT La Vie Vegan Bacon, Lettuce & Tomato with Vegan Baconaise",https://www.sainsburys.co.uk/shop/gb/groceries/product/details/plant-pioneer-vlt-sandwich,3.15,https://assets.sainsburys-groceries.co.uk/gol/8166142/1/640x640.jpg,"Soya protein slices, tomatoes, lettuce and baconaise style vegan mayonnaise on malted bread","{'Soya', 'Barley', 'Mustard', 'Wheat'}",194.2105263,369,MEDIUM,LOW,LOW,HIGH,4.1,369,11.3,1.2,7.2,2.3,46.2,5.8,40.4,7.2,17.1,1.9
8166144,Sainsbury's Southern Fried Chicken Wrap,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-southern-fried-chicken-wrap-8166144-p-44,3.25,https://assets.sainsburys-groceries.co.uk/gol/8166144/1/640x640.jpg,"Southern fried chicken breast goujon with mayonnaise, lettuce, carrot, cabbage, barbecue sauce and onion in a tortilla wrap","{'Soya', 'Egg', 'Mustard', 'Wheat'}",231.25,555,HIGH,HIGH,LOW,MEDIUM,4.5,555,23.8,6.5,12.2,5.1,66.1,5.8,60.3,4.6,16.9,1.38
7799020,Sainsbury's Tuna Mayo Sandwich,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-tuna-mayo-sandwich,1.75,https://assets.sainsburys-groceries.co.uk/gol/7799020/1/640x640.jpg,Tuna Mayonnaise on oatmeal bread,"{'Egg', 'Mustard', 'Fish', 'Oatmeal', 'Barley', 'Wheat'}",139.8058252,288,MEDIUM,LOW,LOW,MEDIUM,4.5,288,6.6,0.7,3.5,2.1,38.9,3.2,31.6,3.2,16.7,0.95
8181433,Sainsburys Gluten Free Egg & Cress Sandwich,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-goodfellas-egg-cress-sandwich,3.25,https://assets.sainsburys-groceries.co.uk/gol/8181433/1/640x640.jpg,hard-boiled egg with seasoned mayonnaise and cress on gluten free seeded bread,"{'Egg', 'Mustard'}",193.6170213,364,MEDIUM,MEDIUM,LOW,MEDIUM,4.3,364,17.8,3.4,8.1,5.5,29.7,1.2,,,16.5,1.46
7007931,Sainsbury's Cheese & Tomato Pasta Salad Pot 300g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-cheese---tomato-pasta-300g,1.80,https://assets.sainsburys-groceries.co.uk/gol/7007931/1/640x640.jpg,Cooked pasta in a tomato and onion dressing with mature Cheddar cheese and red onion,"{'Milk', 'Wheat'}",300,453,MEDIUM,LOW,LOW,MEDIUM,2,453,15.1,4.6,6.6,2.9,60.2,11.9,48.7,5.6,16.3,1.2
8052388,Sainsbury's On the Go Southern Fried Chicken Pasta Salad 300g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-on-the-go-southern-fried-chicken-pasta-300g,3.00,https://assets.sainsburys-groceries.co.uk/gol/8052388/1/640x640.jpg,"Cooked pasta, southern fried chicken goujons, sweetcorn and tomato in a mayonnaise dressing","{'Egg', 'Mustard', 'Wheat'}",300,463,MEDIUM,LOW,LOW,MEDIUM,2.5,463,15.7,1.5,8.9,4.5,62.2,6.2,56,4.3,16.2,1.14
6391299,Sainsbury's On the Go Spicy Chicken Pasta Salad 275g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-spicy-chicken-pasta-salad-300g,1.80,https://assets.sainsburys-groceries.co.uk/gol/6391299/1/640x640.jpg,Cooked pasta in a tomato and chilli dressing with cooked diced chicken breast,{'Wheat'},275,411,MEDIUM,LOW,LOW,MEDIUM,2.6,411,12.4,1.1,7,3.7,57.3,12.3,45,4.6,15.3,1.24
