sku,name,url,price,img_url,description,allegens,weight,cals,fat_level,sat_level,sugar_level,salt_level,rating,Energy,Fat,Saturates,Mono_unsaturates,Polyunsaturates,Carbohydrate,Sugars,Starch,Fibre,Protein,Salt
7860732,Walkers Quavers Cheese Crisp Snacks 34g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/walkers-quavers-cheese-crisp-snacks-34g,1.10,https://assets.sainsburys-groceries.co.uk/gol/7860732/1/640x640.jpg,Cheese Flavour Potato Snack.,,34,161,HIGH,MEDIUM,LOW,HIGH,4.7,,,,,,,,,,,
7981622,Sainsbury's On the Go Almonds 25g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-on-the-go-almonds-25g,0.70,https://assets.sainsburys-groceries.co.uk/gol/7981622/1/640x640.jpg,Almonds,{'Almonds'},25,157,HIGH,MEDIUM,LOW,LOW,4.5,157,14,1.1,9.6,2.6,1.7,1.1,0.7,1.6,5.3,0.01
7151808,Squares Chocolatey Rice Krispies 36g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/kelloggs-rice-krispies--totally-chocolate-36g,0.95,https://assets.sainsburys-groceries.co.uk/gol/7151808/1/640x640.jpg,Chocolate Flavoured Rice Cereal Bar with Milk Chocolate Chunks.,,36,156,,,,,5,,,,,,,,,,,
7860772,Walkers Wotsits Really Cheesy Crisp Snacks 36g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/walkers-wotsits-really-cheesy-crisp-snacks-36g,1.10,https://assets.sainsburys-groceries.co.uk/gol/7860772/1/640x640.jpg,Really Cheesy Flavour Corn Puffs,,36,148,HIGH,MEDIUM,MEDIUM,HIGH,4.4,,,,,,,,,,,
8124280,Cadbury Dairy Milk Chocolate Duo Bar 54.4g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/cadbury-dairy-milk-duo-chocolate-bars-544g,1.30,https://assets.sainsburys-groceries.co.uk/gol/8124280/1/640x640.jpg,Milk Chocolate.,,54.4,145,,,,,4.8,,,,,,,,,,,
8193596,Soreen Malt Loaf Slices x2 45g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/soreen-malt-loaf-slices-x2-45g,1.30,https://assets.sainsburys-groceries.co.uk/gol/8193596/1/640x640.jpg,2 slices of malt loaf with vegetable fat spread,,45,144,MEDIUM,MEDIUM,MEDIUM,MEDIUM,4.2,,,,,,,,,,,
7809055,Sainsbury's Food To Go Roasted Cashews 23g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-food-to-go-roasted-cashews-23g,0.80,https://assets.sainsburys-groceries.co.uk/gol/7809055/1/640x640.jpg,Roasted cashews,{'Cashew Nuts'},23,140,HIGH,HIGH,MEDIUM,LOW,4.8,140,11.3,1.9,7,1.9,4.3,1.5,2.8,1.2,4.7,0.01
2963792,Kellogg's Nutri-Grain Morning Bar Strawberry 37g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/kelloggs-nutrigrain-morning-bars-strawberry-x1-37g,0.85,https://assets.sainsburys-groceries.co.uk/gol/2963792/1/640x640.jpg,"Soft Baked Cereal Bar with A Strawberry Filling, Fortified with Vitamins and Minerals.","{'Wheat', 'Milk', 'Oat', 'Wholewheat', 'Soy'}",37,136,,,,,5,,,,,,,,,,,
8166328,Sunbites Sun Ripened Sweet Chilli Snacks 28g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/cheetos-crunchy-cheese-snacks-crisps-30g,1.10,https://assets.sainsburys-groceries.co.uk/gol/8166328/1/640x640.jpg,Sun Ripened Sweet Chilli Flavour Wholegrain Snack,,28,133,HIGH,MEDIUM,MEDIUM,MEDIUM,4.5,,,,,,,,,,,
7809050,Sainsbury's On the Go Nut Medley 20g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-on-the-go-nut-medley-20g,0.80,https://assets.sainsburys-groceries.co.uk/gol/7809050/1/640x640.jpg,"A mix of blanched almonds, cashew nuts, hazelnuts and pecan nuts","{'Almonds', 'Hazelnuts', 'Cashew Nuts', 'Pecan Nuts'}",20,129,HIGH,HIGH,LOW,LOW,4.5,129,11.5,1.1,7.4,2.4,1.6,0.5,1.3,1.3,4,0.01
